IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
18.167.194.154,443,TRUE,HKG,Asia Pacific,Hong Kong,130 ms,12072 kB/s
13.124.81.29,443,TRUE,ICN,Asia Pacific,Seoul,106 ms,9232 kB/s
13.57.182.91,443,TRUE,SJC,North America,San Jose,176 ms,7195 kB/s
35.165.253.141,443,TRUE,SEA,North America,Seattle,193 ms,6630 kB/s
52.9.112.189,443,TRUE,SJC,North America,San Jose,170 ms,6158 kB/s
3.15.147.151,2083,TRUE,ORD,North America,Chicago,242 ms,5799 kB/s
99.83.209.185,443,TRUE,IAD,North America,Ashburn,192 ms,5589 kB/s
18.216.55.100,443,TRUE,ORD,North America,Chicago,228 ms,5458 kB/s
54.200.244.93,443,TRUE,SEA,North America,Seattle,206 ms,4305 kB/s
3.123.255.167,443,TRUE,FRA,Europe,Frankfurt,191 ms,3689 kB/s
3.144.191.4,443,TRUE,ORD,North America,Chicago,242 ms,3590 kB/s
13.38.53.164,8443,TRUE,CDG,Europe,Paris,201 ms,3509 kB/s
18.198.4.243,8443,TRUE,FRA,Europe,Frankfurt,177 ms,3477 kB/s
13.114.250.221,443,TRUE,NRT,Asia Pacific,Tokyo,104 ms,3470 kB/s
13.51.48.84,2096,TRUE,ARN,Europe,Stockholm,212 ms,3427 kB/s
18.185.86.127,8443,TRUE,FRA,Europe,Frankfurt,178 ms,3353 kB/s
34.253.175.38,443,TRUE,DUB,Europe,Dublin,203 ms,3265 kB/s
13.51.173.26,8443,TRUE,WAW,Europe,Warsaw,208 ms,3130 kB/s
13.250.131.37,443,TRUE,SIN,Asia Pacific,Singapore,95 ms,3077 kB/s
13.60.91.143,443,TRUE,ARN,Europe,Stockholm,199 ms,3065 kB/s
13.43.173.97,8443,TRUE,LHR,Europe,London,199 ms,2987 kB/s
13.51.55.31,443,TRUE,ARN,Europe,Stockholm,213 ms,2914 kB/s
13.42.168.114,2053,TRUE,LHR,Europe,London,203 ms,2847 kB/s
18.168.254.65,8443,TRUE,LHR,Europe,London,188 ms,2711 kB/s
18.132.164.98,443,TRUE,LHR,Europe,London,207 ms,2460 kB/s
13.125.218.78,443,TRUE,SIN,Asia Pacific,Singapore,99 ms,2425 kB/s
13.42.158.50,8443,TRUE,LHR,Europe,London,209 ms,2378 kB/s
15.236.136.125,2087,TRUE,CDG,Europe,Paris,185 ms,1734 kB/s
18.166.180.230,8443,TRUE,HKG,Asia Pacific,Hong Kong,125 ms,1714 kB/s
54.233.182.187,443,TRUE,GRU,South America,S?o Paulo,363 ms,1340 kB/s
15.228.157.181,443,TRUE,GIG,South America,Rio de Janeiro,348 ms,553 kB/s
3.18.225.231,443,TRUE,ORD,North America,Chicago,232 ms,355 kB/s
18.192.113.68,8443,TRUE,FRA,Europe,Frankfurt,177 ms,313 kB/s
52.213.11.150,443,TRUE,DUB,Europe,Dublin,213 ms,249 kB/s
52.74.101.26,443,TRUE,SIN,Asia Pacific,Singapore,103 ms,224 kB/s
54.229.195.253,8443,TRUE,DUB,Europe,Dublin,204 ms,182 kB/s
13.51.132.60,443,TRUE,OSL,Europe,Oslo,194 ms,163 kB/s
13.48.245.19,443,TRUE,ARN,Europe,Stockholm,207 ms,147 kB/s
13.38.100.139,8443,TRUE,CDG,Europe,Paris,204 ms,86 kB/s
13.53.126.251,8443,TRUE,ARN,Europe,Stockholm,211 ms,80 kB/s
3.70.219.196,443,TRUE,FRA,Europe,Frankfurt,189 ms,67 kB/s
18.194.183.74,2053,TRUE,FRA,Europe,Frankfurt,180 ms,64 kB/s
13.60.4.148,8443,TRUE,ARN,Europe,Stockholm,206 ms,57 kB/s
3.65.21.45,443,TRUE,FRA,Europe,Frankfurt,188 ms,57 kB/s
54.194.162.247,443,TRUE,DUB,Europe,Dublin,199 ms,42 kB/s
13.42.76.114,8443,TRUE,LHR,Europe,London,205 ms,27 kB/s
18.184.55.249,443,TRUE,FRA,Europe,Frankfurt,177 ms,0 kB/s
54.150.91.84,443,TRUE,NRT,Asia Pacific,Tokyo,77 ms,0 kB/s
13.60.76.53,2096,TRUE,OSL,Europe,Oslo,204 ms,0 kB/s
13.40.128.14,8443,TRUE,LHR,Europe,London,213 ms,0 kB/s
152.70.117.136,443,TRUE,SJC,North America,San Jose,184 ms,9627 kB/s
155.248.196.218,443,TRUE,SJC,North America,San Jose,184 ms,9481 kB/s
150.230.47.17,443,TRUE,SJC,North America,San Jose,196 ms,5778 kB/s
34.118.11.255,443,TRUE,FRA,Europe,Frankfurt,256 ms,5672 kB/s
34.116.148.173,443,TRUE,FRA,Europe,Frankfurt,254 ms,5583 kB/s
138.2.160.126,443,TRUE,FRA,Europe,Frankfurt,258 ms,5497 kB/s
192.9.246.112,8443,TRUE,SJC,North America,San Jose,178 ms,5495 kB/s
204.216.105.106,8443,TRUE,YUL,North America,Montréal,258 ms,5484 kB/s
34.116.221.87,443,TRUE,FRA,Europe,Frankfurt,252 ms,5430 kB/s
34.118.4.227,443,TRUE,FRA,Europe,Frankfurt,260 ms,5062 kB/s
129.146.240.62,443,TRUE,LAX,North America,Los Angeles,254 ms,5014 kB/s
192.18.150.176,2087,TRUE,YYZ,North America,Toronto,257 ms,4831 kB/s
132.145.64.66,443,TRUE,FRA,Europe,Frankfurt,269 ms,4767 kB/s
129.146.111.62,443,TRUE,LAX,North America,Los Angeles,252 ms,4728 kB/s
138.2.18.184,443,TRUE,NRT,Asia Pacific,Tokyo,116 ms,4696 kB/s
146.235.192.207,443,TRUE,SJC,North America,San Jose,199 ms,4527 kB/s
150.136.241.40,8443,TRUE,IAD,North America,Ashburn,248 ms,4457 kB/s
152.67.78.164,8443,TRUE,MXP,Europe,Milan,282 ms,4240 kB/s
34.118.108.19,443,TRUE,FRA,Europe,Frankfurt,260 ms,4117 kB/s
150.230.7.216,443,TRUE,KIX,Asia Pacific,Osaka,208 ms,4094 kB/s
144.24.240.193,8443,TRUE,MXP,Europe,Milan,268 ms,4089 kB/s
150.230.44.13,443,TRUE,SJC,North America,San Jose,189 ms,4075 kB/s
64.110.104.30,443,TRUE,KIX,Asia Pacific,Osaka,208 ms,3989 kB/s
129.146.83.33,8443,TRUE,LAX,North America,Los Angeles,245 ms,3897 kB/s
34.116.189.98,443,TRUE,FRA,Europe,Frankfurt,255 ms,3879 kB/s
168.138.46.67,443,TRUE,KIX,Asia Pacific,Osaka,209 ms,3876 kB/s
155.248.202.141,443,TRUE,SJC,North America,San Jose,197 ms,3659 kB/s
158.101.23.233,2053,TRUE,LAX,North America,Los Angeles,252 ms,3596 kB/s
155.248.196.123,443,TRUE,YVR,North America,Vancouver,190 ms,3573 kB/s
129.153.213.8,443,TRUE,LAX,North America,Los Angeles,255 ms,3538 kB/s
193.123.81.105,443,TRUE,CDG,Europe,Paris,231 ms,3480 kB/s
168.138.88.116,8443,TRUE,YYZ,North America,Toronto,255 ms,3415 kB/s
140.83.61.244,443,TRUE,HKG,Asia Pacific,Hong Kong,210 ms,3385 kB/s
152.70.234.188,443,TRUE,NRT,Asia Pacific,Tokyo,69 ms,3222 kB/s
150.136.61.148,443,TRUE,IAD,North America,Ashburn,267 ms,3055 kB/s
64.110.88.46,443,TRUE,ICN,Asia Pacific,Seoul,84 ms,3049 kB/s
158.101.11.22,8443,TRUE,LAX,North America,Los Angeles,253 ms,2735 kB/s
129.146.248.140,443,TRUE,LAX,North America,Los Angeles,274 ms,2723 kB/s
129.146.254.39,443,TRUE,LAX,North America,Los Angeles,297 ms,2661 kB/s
150.230.122.76,443,TRUE,LHR,Europe,London,253 ms,2652 kB/s
151.145.36.72,443,TRUE,YYZ,North America,Toronto,266 ms,2453 kB/s
34.34.59.217,443,TRUE,FRA,Europe,Frankfurt,247 ms,2357 kB/s
